Date_complete,ult_mean_speed,ult_mean_dir,ult_SD_speed,ult_SD_dir,ult_updrift
2013-01-08 07:30:00,3.165437,332.16334,1.145224,19.932298,NULL
2013-01-08 07:40:00,3.33647,331.5741,1.20577,20.150966,NULL
2013-01-08 07:50:00,2.15813,329.38766,0.851953,26.328116,NULL
2013-01-08 08:00:00,2.737419,337.03586,0.70188,14.416482,NULL
2013-01-08 08:10:00,2.796158,335.87042,1.367506,25.652968,NULL
2013-01-08 08:20:00,4.421652,336.61956,1.313333,16.175008,NULL
2013-01-08 08:30:00,4.962408,335.47526,1.461538,16.581664,NULL
2013-01-08 08:40:00,5.104211,331.48398,1.563175,17.473516,NULL
2013-01-08 08:50:00,4.94836,332.8606,1.522385,18.342314,NULL
2013-01-08 09:00:00,5.293821,333.5788,1.554342,16.342878,NULL
2013-01-08 09:10:00,4.958919,334.94244,1.246991,14.97532,NULL
2013-01-08 09:20:00,4.490183,335.65148,1.213471,15.06273,NULL
2013-01-08 09:30:00,4.316026,336.93774,1.322059,16.281158,NULL
2013-01-08 09:40:00,3.27011,335.67098,1.084766,21.468192,NULL
2013-01-08 09:50:00,3.635847,329.29834,1.348063,20.465348,NULL
2013-01-08 10:00:00,4.191991,329.75446,1.25659,20.999388,NULL
2013-01-08 10:10:00,3.383573,325.55868,1.70467,38.543312,NULL
2013-01-08 10:20:00,3.889925,325.81054,1.422022,23.580496,NULL
2013-01-08 10:30:00,3.817958,321.13434,1.577846,27.47334,NULL
2013-01-08 10:40:00,1.443881,311.1716,1.197269,60.2912,NULL
2013-01-08 10:50:00,1.876427,314.28486,1.35133,54.127492,NULL
2013-01-08 11:00:00,3.11792,307.50974,1.467627,31.534184,NULL
2013-01-08 11:10:00,3.558443,321.33506,1.641789,33.832808,NULL
2013-01-08 11:20:00,3.154587,323.00796,1.777338,40.9871,NULL
2013-01-08 11:30:00,3.922332,317.45408,1.616132,25.973714,NULL
2013-01-08 11:40:00,3.618035,326.61968,1.728403,30.130542,NULL
2013-01-08 11:50:00,4.427472,324.26014,1.568897,23.29638,NULL
2013-01-08 12:00:00,3.474803,325.51876,1.765642,33.026406,NULL
2013-01-08 12:10:00,3.603117,324.55108,1.777601,33.339302,NULL
2013-01-08 12:20:00,3.156724,314.22924,1.813853,34.897064,NULL
2013-01-08 12:30:00,5.660248,314.2006,1.772398,18.942794,NULL
2013-01-08 12:40:00,3.929573,310.63928,2.116157,39.060684,NULL
