Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4, Persistent, SVR, EMD-SVR, EMD3-SVR, EMD-A-SVR, P1, P2, P3, P4
result_1.mat
RMSE,,,,,,,,,MAPE,,,,,,,,,MASE,,,,,,,,,
0.1272, 0.1363, 0.0595, 0.0853, 0.0962, 0.0664, 0.0741, 0.0635, 0.0633,136.6738, 203.2823, 54.3824, 136.9694, 93.1404, 85.4501, 102.1907, 70.2704, 67.6739,2.3052, 2.4329, 1.0705, 1.4945, 1.7697, 1.2208, 1.3460, 1.1547, 1.1420 
0.2018, 0.1964, 0.1086, 0.1460, 0.1554, 0.1146, 0.1113, 0.1115, 0.1095,54.7965, 54.5185, 31.3634, 47.6071, 48.8743, 34.9412, 33.9142, 32.1742, 32.3503,1.8016, 1.7061, 0.9442, 1.3516, 1.3931, 1.0175, 0.9880, 0.9663, 0.9621 
0.1454, 0.1600, 0.0769, 0.0815, 0.1174, 0.0763, 0.0764, 0.0774, 0.0768,118.2591, 165.7036, 67.0892, 67.8892, 116.9304, 71.5883, 74.5432, 66.4997, 67.7246,1.6573, 1.8140, 0.8640, 0.9375, 1.3785, 0.8555, 0.8595, 0.8777, 0.8636 
0.1710, 0.1690, 0.0955, 0.1400, 0.1141, 0.0945, 0.0956, 0.0945, 0.0950,138.0416, 166.5095, 84.8718, 122.1753, 111.8955, 83.7381, 87.8984, 84.3703, 85.9984,1.8086, 1.7990, 1.0106, 1.5158, 1.2009, 0.9995, 1.0103, 1.0004, 1.0038 
0.0920, 0.0926, 0.0488, 0.0760, 0.0775, 0.0487, 0.0488, 0.0485, 0.0486,32.9077, 33.5500, 17.7954, 25.7024, 29.7657, 17.8353, 18.0002, 17.7912, 17.9485,1.8169, 1.8344, 0.9164, 1.4332, 1.5209, 0.9154, 0.9197, 0.9124, 0.9192 
0.1332, 0.1575, 0.1325, 0.1154, 0.1160, 0.1322, 0.1297, 0.1306, 0.1308,28.2921, 30.9303, 26.3771, 23.6117, 25.9550, 26.4011, 26.3958, 26.3898, 26.3462,1.9320, 2.3523, 1.6018, 1.6713, 1.7201, 1.7236, 1.6493, 1.6943, 1.7023 
0.1429, 0.1436, 0.0814, 0.1244, 0.1109, 0.0833, 0.0867, 0.0823, 0.0823,73.2685, 77.2359, 44.0098, 70.3082, 60.2127, 45.4311, 46.7094, 44.7553, 44.2598,1.8602, 1.8612, 1.0908, 1.5980, 1.4897, 1.1099, 1.1685, 1.1007, 1.0856 
0.1665, 0.1648, 0.1003, 0.1434, 0.1335, 0.0993, 0.1006, 0.1001, 0.0995,23.5375, 23.2214, 14.2250, 21.0738, 17.6683, 14.0287, 13.9982, 14.1290, 14.1387,1.8378, 1.8446, 1.0936, 1.6145, 1.4734, 1.0834, 1.0941, 1.0900, 1.0872 
0.1533, 0.1329, 0.0695, 0.1048, 0.0995, 0.0691, 0.0693, 0.0701, 0.0688,143.7424, 179.0908, 50.7638, 97.8791, 112.8491, 53.4902, 52.7003, 48.0426, 53.5189,2.2734, 2.0796, 1.0450, 1.6889, 1.5939, 1.0529, 1.0645, 1.0702, 1.0599 
0.0805, 0.0829, 0.0417, 0.0538, 0.0723, 0.0420, 0.0424, 0.0425, 0.0440,22.4149, 22.6349, 12.5254, 16.6943, 19.9421, 12.5136, 12.5463, 12.8317, 12.9898,1.8933, 1.9386, 1.0312, 1.2894, 1.7319, 1.0318, 1.0441, 1.0490, 1.0794 
0.1619, 0.1609, 0.0818, 0.1499, 0.1502, 0.0868, 0.0905, 0.0848, 0.0866,362.4343, 516.2833, 189.7315, 265.0420, 349.7400, 222.5491, 256.1144, 218.1535, 224.1810,2.1650, 2.3241, 1.0804, 2.0138, 2.1064, 1.1603, 1.2244, 1.1286, 1.1633 
